student_id,minutes_watched,paid_in_q2
6,162.0667,1
516,92.5333,1
520,182.3667,1
523,1322.25,1
594,3.7333,1
603,8.1833,1
608,387.6833,1
614,674.4,1
616,4413.8,1
618,3824.45,1
659,1337.6,1
666,332.9,1
691,499.5167,1
698,35.9833,1
699,0.2667,1
702,193.8333,1
709,4.6,1
767,0.25,1
772,4160.5833,1
778,604.8,1
782,101.75,1
800,482.2333,1
801,333.4167,1
804,3598.4667,1
805,48.4667,1
810,760.6667,1
829,302.7,1
830,2.45,1
832,358.1833,1
838,1523.45,1
840,2244.2667,1
841,3896.65,1
842,289.5833,1
851,375.3667,1
854,6.85,1
862,978.9167,1
865,2076.8667,1
869,351.7333,1
870,510.95,1
872,6.7167,1
875,355.1667,1
876,2.1333,1
882,1080.6833,1
893,740.2333,1
894,0.0667,1
900,3116.4833,1
902,69.2333,1
903,141.35,1
908,9112.0667,1
911,3512.2667,1
916,4746.9333,1
928,99.05,1
930,638.0667,1
933,717.5167,1
936,379.8667,1
956,1.9167,1
959,12.3,1
961,326.1333,1
965,2251.6,1
969,231.2,1
973,87.4,1
977,1.2,1
982,38.85,1
985,288.9167,1
986,0.0667,1
987,448.8,1
988,1092.85,1
991,3280.9333,1
994,561.9333,1
998,19.9,1
999,2594.1667,1
1002,2789.0333,1
1006,16.3333,1
1008,946.0,1
1010,4.9333,1
1014,191.8333,1
1015,1026.3,1
1016,112.3667,1
1018,171.1167,1
1019,17.1667,1
1029,187.95,1
1033,0.05,1
1034,646.5,1
1035,1449.7667,1
1040,0.1667,1
1042,807.7667,1
1045,246.75,1
1046,1799.1333,1
1052,68.6667,1
1056,50.6667,1
1057,3225.4,1
1064,27.0833,1
1066,375.3167,1
1067,0.8,1
1073,5.0333,1
1081,906.7,1
1086,2684.55,1
1091,46.45,1
1099,0.5667,1
1102,1967.6333,1
1105,2.9,1
1116,0.1167,1
1119,219.75,1
1125,11.3833,1
1127,433.4333,1
1128,1002.5167,1
1132,279.7333,1
1140,137.6,1
1143,42.0333,1
1145,1314.7,1
1151,244.7,1
1155,18.2667,1
1158,4.5833,1
1165,81.3667,1
1166,338.8167,1
1169,49.65,1
1173,974.8,1
1175,846.0,1
1183,2666.0667,1
1187,63.4,1
1188,70.8,1
1190,124.1333,1
1196,238.4667,1
1197,3516.5667,1
1201,400.2333,1
1207,368.2,1
1209,6.4667,1
1212,84.0333,1
1214,72.1667,1
1216,0.1833,1
1224,19.8833,1
1226,12.8333,1
1235,5.5,1
1238,152.4,1
1242,106.7667,1
1244,78.1,1
1246,2950.4667,1
1249,12.2333,1
1253,0.45,1
1257,4.1333,1
1259,759.9167,1
1271,162.2,1
1272,468.0,1
1283,1.0,1
1284,2345.9333,1
1292,135.7333,1
1294,1.75,1
1299,111.1333,1
1306,137.8667,1
1308,777.5,1
1313,1.1,1
1317,1552.8333,1
1323,181.5,1
1324,90.7,1
1327,320.9333,1
1330,108.1,1
1331,101.3833,1
1336,57.9,1
1347,179.6,1
1350,1694.0,1
1353,4768.2,1
1355,697.2,1
1357,856.3,1
1363,1531.5333,1
1369,4.95,1
1373,6429.4667,1
1374,219.4167,1
1375,28.7833,1
1379,3143.9167,1
1382,34.3,1
1388,174.3667,1
1389,66.6667,1
1393,0.05,1
1395,267.0333,1
1397,2979.0,1
1419,1018.0833,1
1424,136.7333,1
1426,496.75,1
1428,339.8333,1
1434,1690.6,1
1437,318.9,1
1456,3460.35,1
1459,190.4333,1
1461,7.8,1
1463,7.25,1
1465,142.35,1
1468,21.8667,1
1471,0.05,1
1473,97.7333,1
1481,30.05,1
1482,709.3333,1
1491,2594.3667,1
1498,65.2333,1
1500,5749.8,1
1501,850.0333,1
1502,0.6333,1
1504,1072.95,1
1513,544.6,1
1522,393.9,1
1531,2.7,1
1532,2.2167,1
1535,831.2,1
1537,0.2667,1
1538,383.1333,1
1542,4015.9333,1
1544,53.4,1
1550,395.4833,1
1553,166.3,1
1561,1100.9,1
1567,1843.1,1
1571,465.6,1
1587,281.75,1
1588,5.6833,1
1595,102.6667,1
1598,854.1,1
1600,100.65,1
1605,521.7,1
1606,11.1667,1
1615,3.4333,1
1633,26.3,1
1638,2120.7,1
1644,135.0667,1
1649,3.95,1
1651,143.4667,1
1652,644.9,1
1653,494.1333,1
1658,159.55,1
1667,69.55,1
1669,518.8333,1
1678,941.2333,1
1680,1.6333,1
1683,1078.1833,1
1686,0.1333,1
1688,1802.9333,1
1693,299.9,1
1695,385.35,1
1701,678.7833,1
1702,1.1,1
1705,606.2,1
1710,18.6333,1
1711,277.3,1
1713,521.0,1
1732,2235.3333,1
1733,230.2333,1
1737,168.85,1
1739,218.6,1
1745,239.2333,1
1759,266.7667,1
1765,432.4167,1
1773,1661.9333,1
1776,1695.5167,1
1778,1775.1,1
1784,0.4,1
1790,1340.6833,1
1792,89.05,1
1794,376.2667,1
1795,279.9667,1
1801,6.0,1
1802,0.9,1
1820,104.4833,1
1823,1499.2167,1
1825,974.8333,1
1827,3.2,1
1835,1386.55,1
1841,141.9,1
1849,163.7,1
1852,1763.9,1
1862,2.7,1
1863,236.7,1
1864,909.9,1
1866,2169.3667,1
1867,18.2,1
1880,189.9667,1
1881,130.05,1
1896,3175.9,1
1897,568.7,1
1898,617.7333,1
1900,118.4,1
1902,401.5,1
