student_id,minutes_watched,paid_in_q2
6,134.1667,1
389,0.1500,1
616,464.0667,1
618,1667.0500,1
666,2.8333,1
699,444.7000,1
702,3.2000,1
801,5732.5833,1
838,1044.8500,1
841,974.2500,1
862,166.7333,1
875,46.7667,1
908,3.6667,1
911,157.4000,1
917,11.3333,1
969,2338.4000,1
988,434.3500,1
999,8452.7667,1
1016,40.3000,1
1019,113.0000,1
1046,2812.7667,1
1064,66.8500,1
1085,165.9333,1
1102,542.6000,1
1151,412.4667,1
1159,123.1333,1
1183,93.6333,1
1188,26.0333,1
1200,1317.6000,1
1201,15.3333,1
1210,4.4000,1
1215,36.4000,1
1221,1363.8000,1
1235,71.9667,1
1246,1057.1333,1
1271,12.2000,1
1306,1471.3667,1
1308,0.7000,1
1317,42.5333,1
1355,54.2000,1
1357,0.7000,1
1362,54.0667,1
1373,45.9167,1
1382,0.6667,1
1395,197.1667,1
1397,27.8333,1
1404,118.9333,1
1419,317.5833,1
1424,0.0667,1
1426,53.3500,1
1434,23.6667,1
1436,1.1667,1
1437,47.1000,1
1456,0.4000,1
1468,177.2667,1
1521,1553.8333,1
1522,251.7667,1
1537,39.6333,1
1538,3.4000,1
1539,1.7667,1
1563,15.8000,1
1567,730.7333,1
1581,857.8500,1
1605,75.0000,1
1641,3.7333,1
1652,2065.7333,1
1661,10.3667,1
1669,104.7667,1
1678,185.8333,1
1688,11.3667,1
1742,529.7667,1
1753,111.5333,1
1754,1548.5500,1
1778,794.7333,1
1780,1.3000,1
1794,231.0333,1
1802,0.1000,1
1845,9.4500,1
1852,654.7000,1
1863,76.3333,1
1864,602.4333,1
1866,0.1667,1
1880,1438.0667,1
1909,715.0500,1
1914,41.0000,1
1923,1.6500,1
1950,34.0333,1
1977,3740.5833,1
2003,1871.3333,1
2014,229.3333,1
2018,485.1000,1
2019,1.0667,1
2022,94.0500,1
2055,80.4667,1
2060,22.5000,1
2070,256.7667,1
2073,1402.6000,1
2084,178.8000,1
2091,794.0667,1
2110,8.6333,1
2112,1752.3333,1
2114,156.3667,1
2185,128.8667,1
2188,11.8833,1
2195,58.6000,1
2217,23.1333,1
2218,101.2667,1
2222,2.4500,1
2236,27.3500,1
2248,764.5000,1
2255,488.3333,1
2258,15.7000,1
2266,20.5333,1
2274,11.1500,1
2284,4.4333,1
2292,87.3667,1
2295,80.0333,1
2324,25.7500,1
2359,0.3000,1
2377,108.3000,1
2385,10.5833,1
2398,737.0667,1
2409,114.7000,1
2417,39.4000,1
2431,1.7000,1
2495,250.7000,1
2506,42.5500,1
2534,1.4000,1
2546,1152.0000,1
2555,1331.8667,1
2591,538.1000,1
2620,32.1333,1
2629,4.6500,1
2636,336.0000,1
2663,30.5667,1
2688,141.2667,1
2702,7.6500,1
2723,150.1667,1
2725,251.5000,1
2731,1406.0000,1
2734,4256.7000,1
2737,2041.7000,1
2764,34.6667,1
2811,1727.1500,1
2824,37.4333,1
2851,1204.7000,1
2863,5.1667,1
2866,58.3500,1
2881,2.4000,1
2887,8.1667,1
2925,30.6000,1
2938,113.5833,1
2945,164.7500,1
2954,1468.0500,1
2973,62.3833,1
2978,398.7333,1
2984,1101.0500,1
2986,520.9667,1
3056,3.5667,1
3062,8.7667,1
3070,1628.8500,1
3074,1.1167,1
3080,154.9333,1
3115,42.0667,1
3146,2.1000,1
3188,70.3000,1
3195,708.6667,1
3219,327.9000,1
3239,3914.3667,1
3256,1441.8000,1
3292,57.9500,1
3297,10.1500,1
3338,418.5000,1
3406,33.4667,1
3420,236.7500,1
3423,1255.5667,1
3478,1.2000,1
3481,61.1667,1
3511,22.4500,1
3522,1.3667,1
3524,117.5667,1
3577,659.8000,1
3598,401.7000,1
3631,20.3500,1
3652,41.7333,1
3774,728.3000,1
3780,282.0667,1
3799,354.1333,1
3817,3420.1000,1
3852,10.0000,1
3856,497.1667,1
3916,184.7000,1
3943,327.6333,1
3982,0.1000,1
3984,60.6667,1
3985,0.1167,1
3987,1.8000,1
4011,109.9667,1
4019,172.5000,1
4035,78.8500,1
4055,442.5000,1
4059,817.6667,1
4078,1.8000,1
4080,1626.9667,1
4112,47.8500,1
4162,48.5000,1
4186,83.6333,1
4194,60.4667,1
4231,118.2333,1
4266,242.2000,1
4298,7.5333,1
4320,101.1500,1
4337,20.9333,1
4371,127.1333,1
4376,82.0667,1
4384,0.1667,1
4404,370.7000,1
4435,4.1000,1
4439,0.3667,1
4537,1221.1333,1
4558,490.2500,1
4566,4.1833,1
4595,2428.3500,1
4629,468.9667,1
4640,585.9667,1
4685,732.2333,1
4698,146.6667,1
4723,1790.2000,1
4739,10018.0667,1
4778,73.9000,1
4784,593.2000,1
4795,25.6333,1
4801,1.4000,1
4829,275.3667,1
4872,485.0333,1
4874,7237.6500,1
4884,66.5333,1
4907,4.6167,1
5010,1853.8000,1
5018,63.0000,1
5058,1.2667,1
5064,839.3333,1
5076,11.1667,1
5080,1103.0000,1
5109,7.4333,1
5111,69.7000,1
5143,86.8000,1
5212,585.8000,1
5221,23.6500,1
5321,3933.3000,1
5323,335.7667,1
5340,449.4000,1
5389,93.0000,1
5427,323.3333,1
5515,6.9833,1
5567,0.9000,1
5579,8.3333,1
5683,101.5000,1
5704,0.2000,1
5774,498.4333,1
5836,1930.6000,1
5884,198.5667,1
5974,1.3333,1
6011,27.7000,1
6053,1972.2667,1
6070,17.3500,1
6096,42.2000,1
6110,19.6167,1
6159,506.3000,1
6164,554.5000,1
6174,22.6667,1
6278,3619.3500,1
6408,4014.7500,1
6505,88.0667,1
6559,922.6333,1
6560,0.9333,1
6589,528.0500,1
6618,246.4333,1
6787,630.3000,1
6801,22.2500,1
6819,56.2667,1
6862,449.0333,1
6885,1019.6000,1
6890,124.6000,1
6899,27.7000,1
6950,1758.1000,1
6971,89.7000,1
7008,4.1500,1
7013,11.7667,1
7037,6.6000,1
7069,35.8000,1
7086,500.0000,1
7163,1075.0667,1
7178,40.5000,1
7179,9.5333,1
7224,157.2667,1
7244,38.4333,1
7282,6.7167,1
7294,63.6000,1
7358,27.9000,1
7382,99.2333,1
7412,122.4000,1
7439,4262.8333,1
7474,5.4333,1
7475,192.4333,1
7495,171.4500,1
7524,73.0333,1
7540,975.1500,1
7548,302.2833,1
7612,44.5000,1
7620,82.8333,1
7790,2.7667,1
7873,748.2667,1
7975,1013.9333,1
8018,865.0667,1
8030,52.0667,1
8059,2966.6000,1
8095,159.3000,1
8133,328.8333,1
8156,26.7500,1
8223,24.4333,1
8412,89.4667,1
8425,62.9333,1
8452,129.1000,1
8495,625.0333,1
8544,2468.5500,1
8594,2900.9000,1
8600,36.9333,1
8641,170.8000,1
8754,1496.2000,1
8835,514.3667,1
8840,1251.4000,1
8954,14.7667,1
9098,32.3167,1
9101,2.0333,1
9107,3472.1167,1
9108,6.5000,1
9178,268.6000,1
9188,35.8000,1
9305,698.9333,1
9372,603.8333,1
9409,1583.2000,1
9754,1369.6000,1
9808,735.5833,1
10131,380.7500,1
10218,0.9167,1
10299,209.9833,1
10390,1.0500,1
10422,1743.9667,1
10685,149.7333,1
10690,167.5333,1
10938,21.8000,1
11124,152.3000,1
11215,124.4500,1
11325,72.9167,1
11402,2.3333,1
11504,0.4500,1
11711,59.5500,1
11793,20.9667,1
11800,65.2333,1
11808,72.8333,1
11996,0.2000,1
12279,401.8333,1
12284,2115.0000,1
12330,143.1000,1
12530,9.1000,1
12532,963.8000,1
