student_id,certificates_issued,minutes_watched
4640,1,586.8000
5836,3,1903.1167
9754,1,702.7667
801,13,6066.0000
2022,1,115.3667
6278,2,2181.3167
2731,2,508.5000
2938,1,1444.7833
182,7,2018.8667
3239,6,2335.5833
1754,9,516.1833
3774,2,1798.0667
3780,1,266.6833
3183,5,147.5500
999,2,502.1333
7382,1,1019.0833
5827,6,953.2333
4739,4,3273.4833
1046,1,2305.9500
1852,1,806.2000
2811,2,3192.9500
2003,3,1028.7833
3577,2,329.9000
4595,1,869.1500
1540,2,675.6000
1200,2,329.4000
1619,6,1490.7333
10422,6,871.9833
969,1,642.4000
1521,3,776.9167
6053,3,986.1333
6,1,148.1167
2737,1,680.5667
4723,2,700.5500
862,1,1145.6500
5080,2,1892.3167
2073,2,467.5333
1221,1,227.3000
2091,1,2655.6167
841,3,1623.6333
7086,1,1399.1333
7540,1,518.1667
6159,2,253.1500
1567,1,1286.9167
1652,2,1355.3167
9372,1,316.7000
911,2,917.4167
8544,1,418.4500
3338,1,1004.5833
8641,1,109.5500
3423,1,1082.1333
19124,2,1868.8500
148372,3,225.2000
21229,1,138.1167
16979,3,535.6833
89102,2,0.1000
147672,6,1214.3000
15772,4,1110.1833
47183,3,895.4833
59568,1,176.5667
144397,13,1242.3667
11353,2,1095.9000
147956,13,2288.9833
14700,35,1657.0500
30872,1,1001.9667
143561,10,2309.3333
44965,1,319.3333
39563,5,599.2167
20710,8,2222.0500
147878,7,2938.0667
74498,1,163.8500
16668,1,535.6667
142814,1,162.3167
145310,1,41.4167
146149,3,938.2500
29758,3,692.8333
148089,1,7.3000
147132,1,357.9167
17613,1,223.8333
15743,1,87.1333
145177,1,918.1667
53781,3,0.0500
146855,4,373.4000
12279,1,200.9833
143701,1,1023.3333
41336,2,1463.2333
147687,1,3761.3500
30206,1,483.1000
147087,1,1221.5000
145013,1,697.0167
17419,2,702.6333
12532,1,481.9000
148628,1,402.0333
115019,2,638.1500
145561,1,197.2000
143709,3,1462.2167
144348,1,863.8833
34121,1,450.6667
156776,3,1558.3500
154092,4,1563.8000
156183,1,812.9833
156206,4,3087.2667
149652,5,1176.8667
153235,1,423.2833
156467,6,1557.3167
156409,1,709.4333
156649,6,2343.2833
156647,2,2355.2000
150949,8,5249.0500
150090,2,1499.2667
149195,2,2299.2167
149787,1,163.8167
156407,9,1708.7000
150745,2,1286.8500
152109,1,1411.3000
149323,1,172.9667
152896,1,687.7833
156587,2,353.3833
156767,1,164.8333
153765,3,1021.6333
151694,1,3491.4833
153741,1,917.0500
156510,1,234.0167
156498,1,1126.2500
153103,1,1209.3667
156276,2,597.6833
154291,1,371.3667
155427,1,1523.0833
149042,1,489.5333
156057,1,967.8833
149601,2,126.2667
155640,2,798.4500
148886,1,2067.2833
190803,5,978.5167
259106,1,334.5500
190394,1,89.3000
219488,5,1399.1667
193509,1,31.0333
160960,4,1116.0167
159370,11,6464.8167
259860,5,1595.1167
176090,6,2779.9833
254098,1,30.7500
256432,1,549.5500
260572,2,426.8000
254310,7,1317.8500
187880,1,155.5000
261019,2,719.5000
241632,3,977.6667
254713,8,1835.5333
258636,3,687.7667
213528,1,174.3333
173105,3,342.1000
253823,4,1089.6000
172619,3,1171.3500
159336,2,501.2333
260998,15,1906.5000
238987,4,570.5667
260649,2,323.2167
235274,3,345.5000
253574,1,1176.1333
254759,1,336.6000
192420,3,451.1333
257415,1,181.4000
258141,1,351.8167
161380,9,2880.0833
234155,1,225.5333
259494,1,113.5833
254929,1,833.8333
260754,5,1256.0333
260465,4,1228.2000
248036,2,354.7500
200231,1,906.8667
165285,8,1583.3500
212463,4,3434.4167
179118,1,118.1333
260042,8,1700.3167
